,index,opp,ident,layer,path,afvoer,meetpunt_code,SG_fid,SG_Join_Count,SG_TARGET_FID,SG_name,SG_ET_ID,SG_Qmeter,SG_Shape_Leng,SG_Shape_Area,SG_REGIO,SG_code,SG_globalid,SG_lateraleknoopid,total_area_meetpunt,relative_size,meetpuntcode_string,Q5_added,Q50_added,SG_Q5,SG_Q50,Q140_added,SG_Q140,geometry,x,y
36,12.001_05,79687.6285818,12.001_05,lateral_nederland,C:/DATA/DHYDRO/delft3dfmpy/data/geul/lateral.shp,0.01,43488.0,71.0,0.0,71.0,12.001_05,70.0,12.Q.31,1388.35090608,79687.61788050272,Zeer Hevig,72,73,12.001_05,31284109.45,0.0025472234716434517,43488,0.067,0.447,0.0,0.001,2.9,0.00738694806776601,POINT Z (5.995300704115502 50.79028447443291 142.01226742704907),5.995300704115502,50.79028447443291
37,12.001_B,2362858.44309,12.001_B,lateral_nederland,C:/DATA/DHYDRO/delft3dfmpy/data/geul/lateral.shp,0.01,43488.0,74.0,0.0,74.0,12.001_B,73.0,12.Q.31,6451.26345622,590713.495841546,Zeer Hevig,75,76,12.001_B,31284109.45,0.018882221876434013,43488,0.067,0.447,0.001,0.008,2.9,0.05475844344165864,POINT Z (6.027772595993685 50.773880581106624 180.85495164604575),6.027772595993685,50.773880581106624
38,12.001_07,2749117.71082,12.001_07,lateral_nederland,C:/DATA/DHYDRO/delft3dfmpy/data/geul/lateral.shp,0.01,43488.0,75.0,1.0,75.0,12.001_07,74.0,12.Q.31,7036.78549362,2749121.25205311,Zeer Hevig,76,77,12.001_07,31284109.45,0.08787596324091974,43488,0.067,0.447,0.006,0.039,2.9,0.25484029339866726,POINT Z (6.0001891722892235 50.78535676737362 145.75510713389713),6.0001891722892235,50.78535676737362
39,12.Q.50,1452260.26749,12.Q.50,lateral_nederland,C:/DATA/DHYDRO/delft3dfmpy/data/geul/lateral.shp,0.01,43488.0,84.0,1.0,84.0,12.Q.50,83.0,12.Q.31,6055.53017841,1452260.2460794346,Hevig,85,86,12.Q.50,31284109.45,0.04642165852285224,43488,0.067,0.447,0.003,0.021,2.9,0.1346228097162715,POINT Z (5.925515324668487 50.81141442186923 104.35088751485384),5.925515324668487,50.81141442186923
40,13.001_01,528134.408895,13.001_01,lateral_nederland,C:/DATA/DHYDRO/delft3dfmpy/data/geul/lateral.shp,0.01,43035.0,85.0,1.0,85.0,13.001_01,84.0,10.Q.36,3736.53364795,528134.6916697728,Hevig,86,87,13.001_01,76659515.05,0.00688935602221466,43035,0.833,1.393,0.006,0.01,8.4,0.05787059058660315,POINT Z (5.894657767077647 50.81829725885025 90.20260359521441),5.894657767077647,50.81829725885025
41,13.001_04,246536.328787,13.001_04,lateral_nederland,C:/DATA/DHYDRO/delft3dfmpy/data/geul/lateral.shp,0.01,43197.0,88.0,1.0,88.0,13.001_04,87.0,13.Q.34,2353.07945761,246536.2893514699,Hevig,89,90,13.001_04,46047963.23,0.005353902150244353,43197,0.2,0.96,0.001,0.005,4.7,0.02516334010614846,POINT Z (5.867104611117253 50.79806273702657 110.17233256397888),5.867104611117253,50.79806273702657
42,13.001_06,2644107.05384,13.001_06,lateral_nederland,C:/DATA/DHYDRO/delft3dfmpy/data/geul/lateral.shp,0.01,43197.0,90.0,1.0,90.0,13.001_06,89.0,13.Q.34,8064.8116581,2644107.414475713,Hevig,91,92,13.001_06,46047963.23,0.05742072458816357,43197,0.2,0.96,0.011,0.055,4.7,0.2698774055643688,POINT Z (5.856675875129834 50.7820049249433 130.66976455788551),5.856675875129834,50.7820049249433
43,13.008,3580045.50002,13.008,lateral_nederland,C:/DATA/DHYDRO/delft3dfmpy/data/geul/lateral.shp,0.01,43197.0,93.0,1.0,93.0,13.008,92.0,13.Q.34,9739.36291597,3580045.915075404,Hevig,94,95,13.008,46047963.23,0.07774602097369257,43197,0.2,0.96,0.016,0.075,4.7,0.3654062985763551,POINT Z (5.873509025114593 50.80544449992709 109.19451282170895),5.873509025114593,50.80544449992709
44,13.H.25,1481407.5432,13.H.25,lateral_nederland,C:/DATA/DHYDRO/delft3dfmpy/data/geul/lateral.shp,0.01,43197.0,96.0,1.0,96.0,13.H.25,95.0,13.Q.34,7273.23003897,1481407.3998709773,Hevig,97,98,13.H.25,46047963.23,0.03217096470633577,43197,0.2,0.96,0.006,0.031,4.7,0.15120353411977813,POINT Z (5.864610371079617 50.76762966765047 137.51735947839694),5.864610371079617,50.76762966765047
45,10.Q.36,4998259.92841,10.Q.36,lateral_nederland,C:/DATA/DHYDRO/delft3dfmpy/data/geul/lateral.shp,0.01,43035.0,49.0,1.0,49.0,10.Q.36,48.0,10.Q.36,13177.9185346,4998259.619382569,De Bilt,50,51,10.Q.36,76659515.05,0.06520077274324694,43035,0.833,1.393,0.054,0.091,8.4,0.5476864910432743,POINT Z (5.73920209382404 50.883112058904196 48.70886534766747),5.73920209382404,50.883112058904196
46,999,,999,,,,,,,,999,,999,,,,,,999,,,,,,,,,,POINT Z (5.718353792865956 50.89658775652321 0),5.718353792865956,50.89658775652321
